pbIndex,pb1,pb2,
010188,0.03131815,0.30096072,
010189,0.62314266,0.13744365,
010190,0.56105071,0.12890171,
010191,0.08081120,-0.05130006,
010192,0.03456626,-0.52136058,
010193,0.64874101,0.56277972,
010194,-0.16221048,-0.70551527,
010195,-0.70761889,-0.40808493,
010196,-0.14347392,-0.28168729,
010197,0.15835263,-0.22481731,
010198,-0.27508914,-0.13541280,
010199,0.13397430,-0.13134246,
010200,0.30467403,0.07312168,
010201,0.29831216,0.09140123,
010202,-0.12067061,-0.40815097,
010203,-0.11278948,-0.51617825,
010204,0.17919789,-0.52373070,
010205,0.78069264,0.00946123,
010206,0.22728454,-0.45699310,
010207,0.41891715,-0.24109384,
010208,-0.12449279,0.18423107,
010209,0.43154263,-0.32236391,
010210,-0.30956000,-0.18927881,
010211,-0.31186533,0.30749083,
010212,0.25925931,-0.29692301,
010213,-0.20929046,-0.16920619,
010214,-0.31074831,-0.60037297,
010215,0.10268692,-0.56648231,
010216,0.13931614,0.07610322,
010217,0.32489455,-0.39077190,
010218,-0.25307250,-0.14400631,
010219,0.11609971,-0.21805361,
010220,-0.06139178,-0.29532495,
010221,-0.34231910,-0.48970923,
010222,0.15310903,-1.04456055,
010223,0.62827796,0.16484568,
010224,0.21863927,-0.15741633,
010225,0.26870868,-0.72883928,
010226,-0.28304660,-0.36313677,
010227,0.13636862,-0.30331188,
010229,0.67120612,0.01182232,
010230,0.15527982,-0.46316436,
010231,0.45063254,-0.02048079,
010232,0.09923592,-0.36537951,
010233,-0.02878594,-0.02079851,
010234,0.15544063,-0.05778110,
010235,-0.03509907,-0.59489334,
010236,0.09863640,0.09682576,
010237,0.23308067,-0.37403169,
010238,0.37097070,-0.44205967,
010239,1.32867754,0.36860567,
010240,0.21575530,-0.01112263,
010241,-0.20682859,-0.29526994,
010242,0.47994113,-0.00626270,
010243,-0.02792047,-0.89152741,
010244,0.41682944,0.16966555,
010245,-0.25837779,-0.22237673,
010246,0.16530374,-0.16542886,
010247,-0.04771698,0.15876199,
